@relation 'C__Users_samir_Desktop_2nd Semester_AI_HW5_Dataset_Training'

@attribute text string
@attribute @@class@@ {one,zero}

@data

'good caseexcellent value\r\n',one
'so there is no way for me to plug it in here in the us unless i go by a converter\r\n',zero
'works great\r\n',one
'it clicks into place in a way that makes you wonder how long that mechanism would last\r\n',zero
'light weighti hardly notice it is there\r\n',one
'it makes very strange ticking noises before it ends the call\r\n',zero
'every time i eat herei see caring teamwork to a professional degree\r\n',one
'thenas if i hadn\'t wasted enough of my life therethey poured salt in the wound by drawing out the time it took to bring the check\r\n',zero
'the best scene in the movie was when gerardo is trying to find a song that keeps running through his head  \r\n',one
'a veryveryvery slow-movingaimless movie about a distresseddrifting young man  \r\n',zero
'saw the movie today and thought it was a good effortgood messages for kids  \r\n',one
'not sure who was more lost - the flat characters or the audiencenearly half of whom walked out  \r\n',zero
'loved the casting of jimmy buffet as the science teacher  \r\n',one
'attempting artiness with black & white and clever camera anglesthe movie disappointed - became even more ridiculous - as the acting was poor and the plot and lines almost non-existent  \r\n',zero
'and those baby owls were adorable  \r\n',one
'very little music or anything to speak of  \r\n',zero
'the movie showed a lot of florida at it\'s bestmade it look very appealing  \r\n',one
'the rest of the movie lacks artcharmmeaning if it\'s about emptinessit works i guess because it\'s empty  \r\n',zero
'the songs were the best and the muppets were so hilarious  \r\n',one
'wasted two hours  \r\n',zero
'it was so cool  \r\n',one
'a bit predictable  \r\n',zero
'this is a very \"right on case\" movie that delivers everything almost right in your face  \r\n',one
'it had some average acting from the main personand it was a low budget as you clearly can see  \r\n',zero
'this review is long overduesince i consider a tale of two sisters to be the single greatest film ever made  \r\n',one
'this short film certainly pulls no punches  \r\n',zero
'you\'ll love how thin it is\r\n',one
'battery lasts only a few hours\r\n',zero
'i\'ll put this gem up against any movie in terms of screenplaycinematographyactingpost-productioneditingdirectingor any other aspect of film-making  \r\n',one
'graphics is far from the best part of the game  \r\n',zero
'it\'s practically perfect in all of them a true masterpiece in a sea of faux \"masterpieces  \r\n',one
'today the graphics are crap  \r\n',zero
'\" the structure of this film is easily the most tightly constructed in the history of cinema  \r\n',one
'this was a flick doomed from its conception  \r\n',zero
'i can think of no other film where something vitally important occurs every other minute  \r\n',one
'the very idea of it was lame - take a minor character from a mediocre pg-13 filmand make a complete non-sequel while changing its tone to a pg-rated family movie  \r\n',zero
'in other wordsthe content level of this film is enough to easily fill a dozen other films  \r\n',one
'i wasn\'t the least bit interested  \r\n',zero
'how can anyone in their right mind ask for anything more from a movie than this?  \r\n',one
'not only did it only confirm that the film would be unfunny and genericbut it also managed to give away the entire movie; and i\'m not exaggerating - every momentevery plot pointevery joke is told in the trailer  \r\n',zero
'it\'s quite simply the highestmost superlative form of cinema imaginable  \r\n',one
'but it\'s just not funny  \r\n',zero
'yesthis film does require a rather significant amount of puzzle-solvingbut the pieces fit together to create a beautiful picture  \r\n',one
'but even the talented carrell can\'t save this  \r\n',zero
'this is the number one best th game in the series  \r\n',one
'his co-stars don\'t fare much betterwith people like morgan freemanjonah hilland ed helms just wasted  \r\n',zero
'it deserves strong love  \r\n',one
'the story itself is just predictable and lazy  \r\n',zero
'the color is even prettier than i thought it would beand the graphics are incredibly sharp\r\n',one
'we are sending it back\r\n',zero
'it is an insane game  \r\n',one
'the only real effects work is the presence of all the animalsand the integration of those into the scenes is some of the worst and most obvious blue/green-screen work i\'ve ever seen  \r\n',zero
'there are massive levelsmassive unlockable characters it\'s just a massive game  \r\n',one
